taxonid,variablename,harmonizedname
338,Acer,Acer
820,Achillea-type,Achillea
330,Alnus,Alnus
1299,Alnus glutinosa,Alnus
391,Amaranthaceae,Amaranthaceae
1142,Anemone,Anemone
5145,Anemone nemorosa,Anemone
1161,Anemone-type,Anemone
3438,Anthemis-type,Anthemis
311,Apiaceae,Apiaceae
1172,Apiaceae undiff.,Apiaceae
3832,Apium-type,Apium
3837,Arctium,Arctium
568,Arctostaphylos uva-ursi,Arctostaphylos
569,Armeria maritima,Armeria
25,Artemisia,Artemisia
418,Asteroideae,Asteroideae
3439,Aster-type,Aster
415,Avena/Triticum,Avena/Triticum
29,Betula,Betula
3208,Betula nana,Betula
1011,Betula undiff.,Betula
349,Bidens,Bidens
705,Bistorta vivipara,Bistorta
326,Botryococcus,Botryococcus
420,Brassicaceae,Brassicaceae
1168,Bryophyta,Bryophyta
9773,Calluna,Calluna
2897,Calluna vulgaris,Calluna
2944,Caltha palustris,Caltha
585,Caltha-type,Caltha
813,Campanula,Campanula
586,Campanula-type,Campanula
5823,Cannabis-type,Cannabis
2460,Carduus,Carduus
5064,Carex-type,Carex
1429,Carpinus,Carpinus
1319,Carpinus betulus,Carpinus
45,Caryophyllaceae,Caryophyllaceae
1013,Caryophyllaceae undiff.,Caryophyllaceae
1336,Centaurea cyanus,Centaurea
4001,Centaurea jacea-type,Centaurea
3441,Centaurea scabiosa,Centaurea
999,Cerastium-type,Cerastium
1062,Charcoal,Charcoal
160,Cichorioideae,Cichorioideae
821,Circaea,Circaea
4175,Cornus suecica,Cornus
67,Corylus,Corylus
1316,Corylus avellana,Corylus
1430,Crataegus,Crataegus
74,Cyperaceae,Cyperaceae
4221,Daucus-type,Daucus
2549,Dianthus-type,Dianthus
171,Diphasiastrum complanatum-type,Diphasiastrum
4235,Drosera rotundifolia/D. anglica,Drosera
4047,Dryas octopetala,Dryas
83,Dryopteris-type,Dryopteris
86,Empetrum,Empetrum
3572,Ephedra distachya-type,Ephedra
3578,Ephedra fragilis-type,Ephedra
90,Epilobium,Epilobium
91,Equisetum,Equisetum
4252,Erica tetralix,Erica
46468,Ericaceae cf. Vaccinium,Ericaceae
909,Ericaceae undiff.,Ericaceae
157,Fabaceae undiff.,Fabaceae
1324,Fagopyrum esculentum,Fagopyrum
107,Fagus,Fagus
1320,Fagus sylvatica,Fagus
1428,Filipendula,Filipendula
2322,Frangula alnus,Frangula
369,Fraxinus,Fraxinus
3579,Fraxinus excelsior,Fraxinus
115,Fungi undiff.,Fungi
1416,Galium-type,Galium
3449,Genista-type,Genista
2270,Gentiana pneumonanthe,Gentiana
120,Geranium,Geranium
121,Geum-type,Geum
5004,Gymnocarpium dryopteris,Gymnocarpium
4359,Gypsophila,Gypsophila
4367,Hedera helix,Hedera
451,Hedysarum,Hedysarum
1260,Helianthemum,Helianthemum
2537,Heracleum,Heracleum
1306,Hippophaë rhamnoides,Hippophaë
3705,Hordeum-type,Hordeum
4385,Hornungia-type,Hornungia
806,Humulus/Cannabis,Humulus/Cannabis
175,Huperzia selago,Huperzia
4395,Hydrocotyle vulgaris,Hydrocotyle
132,Hypericum,Hypericum
4406,Ilex aquifolium,Ilex
35429,Indeterminable (unknown),Indeterminable
905,Indeterminable undiff.,Indeterminable
2613,Isoëtes lacustris,Isoëtes
3706,Isoëtes setacea,Isoëtes
4412,Jasione montana,Jasione
983,Juniperus,Juniperus
4416,Juniperus communis,Juniperus
4121,Lobelia dortmanna,Lobelia
4464,Lonicera periclymenum,Lonicera
4469,Lonicera xylosteum,Lonicera
2904,Lotus,Lotus
168,Lycopodium annotinum,Lycopodium
650,Lycopodium annotinum-type,Lycopodium
170,Lycopodium clavatum,Lycopodium
539,Lysimachia,Lysimachia
655,Lythrum salicaria,Lythrum
4503,Maianthemum-type,Maianthemum
4505,Malus,Malus
997,Melampyrum,Melampyrum
656,Mentha-type,Mentha
9505,Menyanthes,Menyanthes
182,Menyanthes trifoliata,Menyanthes
4533,Mercurialis perennis,Mercurialis
666,Myrica gale,Myrica
667,Myriophyllum alterniflorum,Myriophyllum
4563,Narthecium-type,Narthecium
190,Nuphar,Nuphar
192,Nymphaea,Nymphaea
842,Ononis-type,Ononis
1331,Ophioglossum vulgatum,Ophioglossum
3699,Parnassia palustris,Parnassia
202,Pediastrum,Pediastrum
476,Pedicularis,Pedicularis
230,Persicaria amphibia,Persicaria
884,Persicaria maculosa-type,Persicaria
210,Picea,Picea
385,Pinus,Pinus
220,Plantago lanceolata,Plantago
219,Plantago major,Plantago
2905,Plantago major/P. media,Plantago
1307,Plantago maritima,Plantago
221,Plantago media,Plantago
38770,Plantago uniflora,Plantago
417,Poaceae,Poaceae
2113,Poaceae (>40 µm),Poaceae
125,Poaceae undiff.,Poaceae
33543,Poaceae undiff. (<40 µm),Poaceae
947,Polygonum aviculare,Polygonum
234,Polypodiaceae,Polypodiaceae
2299,Polypodiaceae undiff.,Polypodiaceae
835,Polypodium,Polypodium
2301,Polypodium vulgare,Polypodium
389,Populus,Populus
3435,Populus tremula,Populus
517,Potamogeton,Potamogeton
242,Potentilla-type,Potentilla
33823,Poterium sanguisorba,Poterium
715,Prunus,Prunus
720,Pteridium aquilinum,Pteridium
677,Pteridophyta,Pteridophyta
251,Quercus,Quercus
4728,Radiola linoides,Radiola
252,Ranunculaceae undiff.,Ranunculaceae
996,Ranunculus acris-type,Ranunculus
4737,Ranunculus peltatus-type,Ranunculus
27573,Ranunculus sect. Batrachium,Ranunculus
253,Ranunculus undiff.,Ranunculus
815,Ranunculus-type,Ranunculus
725,Rhamnus cathartica,Rhamnus
2931,Rhinanthus-type,Rhinanthus
2227,Rhynchospora alba,Rhynchospora
3443,Rosaceae cf. Sorbus,Rosaceae
355,Rosaceae undiff.,Rosaceae
733,Rubiaceae,Rubiaceae
4768,Rubus idaeus-type,Rubus
4053,Rumex acetosa,Rumex
5812,Rumex acetosa/R. acetosella,Rumex
1532,Rumex acetosella-type,Rumex
4055,Rumex crispus-type,Rumex
9504,Rumex/Oxyria,Rumex/Oxyria
271,Salix,Salix
275,Sambucus,Sambucus
3597,Sambucus nigra-type,Sambucus
1301,Sanguisorba officinalis,Sanguisorba
5092,Sanicula europaea,Sanicula
4818,Saxifraga aizoides-type,Saxifraga
4805,Saxifraga hirculus-type,Saxifraga
747,Saxifraga oppositifolia-type,Saxifraga
283,Scheuchzeria palustris,Scheuchzeria
4840,Schoenoplectus lacustris-type,Schoenoplectus
4834,Schoenus-type,Schoenus
4845,Scleranthus annuus,Scleranthus
4123,Scrophularia-type,Scrophularia
967,Secale,Secale
285,Sedum,Sedum
750,Selaginella selaginoides,Selaginella
1915,Senecio-type,Senecio
3703,Silene-type,Silene
38081,Silene-type undiff.,Silene
4856,Sinapis-type,Sinapis
3600,Solanum dulcamara,Solanum
1435,Sorbus,Sorbusµm)
1315,Sorbus aucuparia,Sorbus
293,Sparganium-type,Sparganium
2932,Spergula,Spergula
2936,Spergularia,Spergularia
294,Sphagnum,Sphagnum
491,Stachys-type,Stachys
4038,Stellaria palustris,Stellaria
4421,Succisa pratensis,Succisa
4870,Taxus baccata,Taxus
300,Thalictrum,Thalictrum
302,Tilia,Tilia
4907,Trientalis europaea,Trientalis
495,Trifolium pratense,Trifolium
496,Trifolium repens-type,Trifolium
4923,Trollius europaeus,Trollius
1121,Typha angustifolia-type,Typha
309,Typha latifolia,Typha
310,Ulmus,Ulmus
15671,Unknown (pre-Quaternary),Unknown
498,Urtica,Urtica
316,Utricularia,Utricularia
317,Vaccinium,Vaccinium
3713,Varia,Varia
794,Viburnum opulus,Viburnum
795,Viburnum opulus-type,Viburnum
1876,Vicia/Lathyrus,Vicia/Lathyrus
1334,Viscum,Viscum
4977,Viscum album,Viscum
